pos_z density velocity temperature
0.079370 0.000000 0.000000 0.000000
0.238110 0.000000 0.000000 0.000000
0.396850 0.000000 0.000000 0.000000
0.555590 0.000000 0.000000 0.000000
0.714330 0.000000 0.000000 0.000000
0.873071 0.000000 0.000000 0.000000
1.031811 0.000000 0.000000 0.000000
1.190551 0.000000 0.000000 0.000000
1.349291 0.000000 0.000000 0.000000
1.508031 0.000000 0.000000 0.000000
1.666771 0.000000 0.000000 0.000000
1.825511 0.000000 0.000000 0.000000
1.984251 0.000000 0.000000 0.000000
2.142991 0.000000 0.000000 0.000000
2.301732 0.000000 0.000000 0.000000
2.460472 0.000000 0.000000 0.000000
2.619212 0.000000 0.000000 0.000000
2.777952 0.000694 2.408739 0.214021
2.936692 0.049306 0.161395 1.767531
3.095432 0.611806 -0.073522 1.868319
3.254172 1.480556 -0.026713 1.785823
3.412912 1.163194 0.064567 1.748136
3.571652 0.561806 0.009307 1.731645
3.730392 0.386111 0.002488 1.943221
3.889132 0.448611 -0.001359 1.787036
4.047873 0.698611 -0.054135 1.708211
4.206613 0.875694 0.043263 1.703193
4.365353 0.895139 0.043444 1.795465
4.524093 0.687500 0.045847 1.672653
4.682833 0.586111 0.044439 1.629642
4.841573 0.618750 -0.006374 1.783166
5.000313 0.667361 0.102832 1.847701
5.159053 0.717361 0.089355 1.820612
5.317793 0.738889 0.077559 1.832968
5.476533 0.737500 0.079358 1.875867
5.635273 0.695139 0.067694 1.757235
5.794014 0.628472 0.138591 1.785056
5.952754 0.700000 0.082803 1.743497
6.111494 0.720833 0.036542 1.761805
6.270234 0.727778 0.176199 1.883470
6.428974 0.720833 0.165978 1.793581
6.587714 0.699306 0.121867 1.893337
6.746454 0.675000 0.124196 1.751197
6.905194 0.681250 0.101949 1.797541
7.063935 0.704167 0.049723 1.722204
7.222675 0.706250 0.059232 1.711842
7.381415 0.744444 0.086233 1.669021
7.540155 0.743056 0.003177 1.640174
7.698895 0.672917 0.171380 1.688520
7.857635 0.695833 0.145257 1.664342
8.016376 0.753472 0.067379 1.716734
8.175116 0.727083 0.105623 1.715169
8.333856 0.666667 0.082332 1.569877
8.492596 0.729167 0.128798 1.674742
8.651336 0.714583 0.070156 1.714360
8.810076 0.715278 0.147306 1.727230
8.968816 0.713889 0.199551 1.788338
9.127556 0.735417 0.196304 1.622780
9.286296 0.726389 0.108536 1.645586
9.445036 0.705556 0.041041 1.638843
9.603776 0.711111 0.112957 1.660422
9.762516 0.712500 0.103897 1.629530
9.921256 0.683333 0.100050 1.684985
10.079996 0.725694 0.064376 1.727541
10.238737 0.779167 0.095385 1.631212
10.397477 0.688194 0.074394 1.727028
10.556217 0.699306 0.000871 1.744121
10.714957 0.692361 0.125306 1.638837
10.873697 0.738194 0.128779 1.763417
11.032437 0.749306 0.097618 1.705039
11.191177 0.702778 0.161122 1.761494
11.349917 0.675000 0.159514 1.649858
11.508657 0.709028 0.108402 1.627767
11.667397 0.709722 0.182165 1.770405
11.826138 0.720139 0.134431 1.650742
11.984878 0.722222 0.071162 1.705481
12.143618 0.695139 0.139681 1.746528
12.302358 0.687500 0.095950 1.638686
12.461098 0.675000 0.067393 1.729726
12.619838 0.700694 0.082386 1.641829
12.778579 0.728472 0.057057 1.658783
12.937319 0.756250 0.070468 1.744282
13.096059 0.738194 0.097773 1.882973
13.254799 0.700000 0.057696 1.651373
13.413539 0.587500 0.072957 1.695322
13.572279 0.610417 0.158321 1.730567
13.731019 0.737500 0.096200 1.639937
13.889759 0.842361 0.070643 1.884754
14.048499 0.947917 0.044500 1.822209
14.207239 0.707639 0.058300 1.764143
14.365979 0.416667 0.086085 1.786282
14.524719 0.375694 0.070797 1.676214
14.683459 0.594444 0.051476 1.694082
14.842199 1.200000 0.010005 1.783364
15.000939 1.502778 0.015913 1.692633
15.159679 0.665972 0.010037 1.830211
15.318420 0.054861 -0.195770 1.931459
15.477160 0.001389 -0.561759 3.147796
15.635900 0.000000 0.000000 0.000000
15.794641 0.000000 0.000000 0.000000
